name,description,ingredients_raw,steps,tags
Kahlua Chocolate Chip Cookies,Monster cookies.,"['1/2  cup    unsalted butter or 1/2  cup    margarine, room temp ', '1/2  cup    brown sugar, packed ', '2   teaspoons    granulated sugar', '1       egg, lightly beaten room temp ', '1   teaspoon    pure vanilla extract', '1/3  cup   toasted walnuts, measured after rough chop ', '1/3  cup    chocolate chips, measured after rough chop ', '3/4  cup    whole wheat flour', '3/4  cup    all-purpose flour', '1/2  teaspoon    baking soda', '1/2  teaspoon    salt', '1/4  teaspoon   freshly grated cinnamon or 1/2  teaspoon    ground cinnamon', '1/4  cup    Kahlua']","['Heat oven to 350°F.', 'In a large bowl, cream butter ( or margarine ) and sugars. Stir in egg and vanilla extract. Stir in walnuts and chocolate chips.', 'In another bowl, sift flours with baking soda, salt and cinnamon, Then add to the creamed mixture. Mix in the Kahlua ( dough should be the consistency of playdough - If too dry - add a splash of Kahlua. If too wet - add flour ).', 'Roll dough into a log and divide into 8 pieces, placing pieces on a parchment lined cookie sheet and flatten with flour dusted palm of your hand.', 'Bake for 10- 12 minutes or until done - ovens vary.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'hand-formed-cookies', 'desserts', 'cookies-and-brownies', 'dietary', 'number-of-servings']"
Katalin's Classic Sugar Cookies,"I haven't tried these yet, but my friend Katalin is an amazing cook, so I'm assuming these are going to be delicious. Enjoy!","['2   cups    all-purpose flour, sifted ', '2   teaspoons    baking powder', '1/2  teaspoon    salt', '2   large    eggs', '3/4  cup    sugar, plus additional sugar for topping ', '2/3  cup    vegetable oil', '2   teaspoons    vanilla extract', '1   teaspoon    lemon zest']","['Preheat oven to 400°F.', 'Sift flour, baking powder and salt into a medium bowl and mix well.', 'Whisk eggs in a large bowl until blended. Add sugar, oil, vanilla extrct and lemon zest and mix well.', 'Stir the dry ingredients into egg mixture until blended.', 'Chill, covered, for 30 minutes or longer.', 'Drop cookie dough by rounded teaspoonfuls 2 inches apart onto ungreased baking sheets.', 'Mist the bottom of a 3-inch flat-bottom glass with water and dip glass in additional sugar.', 'Press the top of each cookie lightly with the glass to flatten, misting glass with water and dipping in sugar before pressing each cookie.', 'Bake cookies until lightly browned, about 8 minutes.', 'Cool on baking sheets for 2 minutes.', 'Remove to wire racks to cool completely.']","['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'drop-cookies', 'desserts', 'easy', 'kid-friendly', 'cookies-and-brownies', 'dietary', 'gifts', 'inexpensive', 'taste-mood', 'sweet']"
Butterscotch Chewies Cookies (Gift Mix in a Jar),Gift jar directions at bottom of the recipe - add onto a recipe card and attach to the gift! Or skip the gift making and indulge yourself with this treat!! NOTE: This recipe is to be prepared one QUART size wide mouth canning jar and will yield 4 dozen cookies.,"['2   cups    flour', '1   teaspoon    cinnamon', '1/2  teaspoon    salt', '1/2  teaspoon    baking soda', '1   teaspoon    baking powder', '1   cup    light brown sugar, packed ', '1 1/4  cups    butterscotch chips', '2/3  cup   solid butter flavor shortening', '2       eggs', '1   teaspoon    vanilla extract']","['Creating the Gift in a Jar:', 'Wash and thoroughly dry a 1-quart wide-mouth canning jar.', 'Layer the ingredients in the jar as listed above starting with the flour, cinnamon, salt, baking soda, baking powder, light brown sugar and then butterscotch chips - make sure to press firmly with a flat bottomed object after each addition; make the layers as level as possible.', 'Secure the lid and decorate as desired; attach the instructions for making these cookies found below.', 'BUTTERSCOTCH CHEWIES COOKIES GIFT TAG:', 'Additional ingredients to be added by the recipient: 2/3 cup solid butter-flavored shortening (such as Butter Flavor Crisco), 2 eggs and 1 tsp vanilla extract.', 'COOKIE INSTRUCTIONS:', 'Preheat oven to 400.', 'In a large bowl, blend the shortening, eggs and vanilla extract.', 'Add the contents of the jar, and stir until well mixed.', 'Drop the dough by heaping teaspoonfuls onto an ungreased baking sheet, spacing the cookies about 2 inches apart.', 'Bake for 7-9 minutes, or until the edges are light brown in color.', 'Allow to cool for 2 minutes on the baking sheet, then transfer to wire racks and cool completely.', 'Serve immediately or store in an airtight container for up to 1 week.']","['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'holiday-event', 'cookies-and-brownies', 'gifts', 'christmas', 'number-of-servings']"
Corn Meal Apricot Nut Cookies,"A different kind of cookie. This recipe originally called for shortening, but I never use it, so I always substitute butter. I think butter gives a much better flavor, especially to baked goods.","['1   cup    butter', '1 1/2  cups    sugar', '2       eggs', '1   teaspoon    lemon extract', '1   cup   chopped dried apricot', '1/2  cup   finely-chopped walnuts or 1/2  cup    pecans', '3   cups    cake flour, separated ', '1   teaspoon    baking powder', '1   teaspoon    nutmeg', '1/2  teaspoon    salt', '1   cup    yellow cornmeal']","['Cream butter; add sugar, eggs and lemon extract. Beat well.', 'Dredge apricots with 1/2 cup of the flour and add.', 'Sift remaining flour with other dry ingredients and add; mix well.', 'Add nuts if desired.', 'Drop by teaspoonfuls onto greased (or use parchment paper) cookie sheet; flatten with a fork.', 'Bake 10 to 12 minutes at 400°F.']","['time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'cookies-and-brownies', 'number-of-servings', '4-hours-or-less']"
Sticky Brownies,Very gooey and chocolatey and rich.Use milk chocolate and splenda for a cakier version.Source: Practical cooking- Chocolate,"['1/3  cup    butter, generous ', '3/4  cup    granulated sugar', '1/2  cup    brown sugar', '4 1/2  ounces    dark chocolate', '1   tablespoon    light corn syrup', '2       eggs', '1   teaspoon    chocolate or 1   teaspoon    vanilla extract', '3/4  cup    all-purpose flour', '2   tablespoons    unsweetened cocoa', '1/2  teaspoon    baking powder']","['Lightly Grease an 8 inch/ 20 cm shallow square cake pan and line the bottom with parchment.', 'Preheat oven at 350 degrees Fahrenheit (180 C).', 'Place butter, sugars, chocolate, and corn syrup in a heavy based pan and heat gently, stirring until the mixture is well blended and smooth (or heat carefully in microwave).', 'Remove from heat and let cool.', 'Beat together eggs and extract. Whisk in the chocolate mixture.', 'Strain together the flour, cocoa, and baking powder; fold carefully into the egg and chocolate mixture using a metal spoon or spatula.', 'Spoon the mixture into a prepared pan and bake in a preheated 350 degrees Fahrenheit oven for 25 minutes or until the top is crisp and the edge of the cake is beginning to shrink away from the pan. The inside of the cake mixture will still be quite stodgy and soft to the touch.', 'Let the cake cool completely then cut into squares to serve.', 'Brownies can be well wrapped and frozen for up to 2 months. Thaw at room temp for about 2 hours or overnight in the fridge.']","['time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'easy', 'cookies-and-brownies', 'chocolate', 'dietary', 'low-sodium', 'low-in-something', '4-hours-or-less']"
Cookie Salad,A Holiday must!,"['1   cup    buttermilk', '1 (3 1/2  ounce) package   instant vanilla pudding', '1 (16   ounce) container   Cool Whip', '1 (11 1/2  ounce) package   fudge-striped shortbread cookies', '1 (29   ounce) can   fruit cocktail, drained ']","['Mix buttermilk and dry pudding powder in a LARGE bowl that has a lid.', 'Add cool whip.', 'Crush 3/4 of the package of cookies and mix inches.', 'Mix in the fruit.', 'Crush the remaining cookies and sprinkle on top.', 'Cover and chill for 12-24 hours.']","['15-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'side-dishes', 'easy']"
Peanut Chocolate Whirls,From a Taste Of Home Magazine.  Great taste and super Kid friendly.,"['1/2  cup    shortening', '1/2  cup    creamy peanut butter', '1   cup    sugar', '1       egg', '2   tablespoons    milk', '1   teaspoon    vanilla extract', '1 1/4  cups    all-purpose flour', '1/2  teaspoon    baking soda', '1/2  teaspoon    salt', '1   cup    semi-sweet chocolate chips']","['In a mixing bowl, cream shortening, peanut butter and sugar.', 'Add egg, milk and vanilla.', 'Combine the flour, baking soda and salt; gradually add to creamed mixture.', 'Turn onto lightly floured surface; roll into a 16 inch by 12 inch rectangle.', 'Melt chocolate chips; cool slightly.', 'Spread over dough to within 1/2 inch of edges.', 'Tightly roll up jelly-roll style, starting with a long side.', 'Wrap in plastic wrap; refrigerate for up to 30 minutes.', 'Unwrap and cut into 1/4 inch slices.', 'Place 1 inch apart on ungreased baking sheets.', 'Bake at 350° for 8-10 minutes or until lightly browned.', 'Remove to wire racks to cool.']","['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'rolled-cookies', 'desserts', 'easy', 'cookies-and-brownies']"
M&M Monster Cookies,"This has been a family favorite for so long, each year there is a new addition or adjustment. Finally I think we're done altering this cookie. Notes: Molasses isn't required, if you don't have it, no problem any of the additions can be altered as long it remains approximately the same quantities.","['1/2 cup butter (softened)', '1/2 cup shortening', '1/2 cup sugar', '1 cup dark brown sugar', '2 eggs', '1 tablespoon vanilla', '2 tablespoons molasses', '2 cups flour', '2 teaspoons baking powder', '2 teaspoons baking soda', '1/2 teaspoon kosher salt', '2 cups old fashioned oats', '1 cup pretzel, crushed', ""1 / 4 cups M&M'"", '1/2 cup semi-sweet chocolate chips', '1/2 cup white chocolate chips', '1/2 cup coconut', '1/2 cup pecans, chopped', '1/2 cup dried cranberries']",[],"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'for-large-groups', 'drop-cookies', 'desserts', 'holiday-event', 'cookies-and-brownies', 'number-of-servings']"
Lemon Leaves,"Sugar, chopped pistachios and lemon peel sprinkled on top of these cookies make them extra special. Feel free to use whatever cookie cutters you have on hand.","['1/2  cup    butter, softened ', '1 1/3  cups    sugar, divided ', '1       egg', '1   tablespoon    half-and-half cream', '1   teaspoon    lemon extract', '2 1/4  cups    all-purpose flour', '3   teaspoons    baking powder', '1/2  teaspoon    salt', '2       egg yolks', '1   teaspoon    water', '1/4  cup   finely chopped pistachios', '1 1/2  teaspoons   grated lemon peel']","['In a large bowl, cream the butter and 1 cup of sugar until light and fluffy. Beat in the egg, cream and extract. Combine the flour, baking powder and salt; gradually add to creamed mixture and mix well. Cover and refrigerate for 2 hours or until dough is easy to handle.', 'In a small bowl, beat the egg yolks and water. In another bowl, combine the pistachios, lemon peel and remaining sugar.', 'On a lightly floured surface, roll out dough to 1/8-inch thickness. Cut with a 2 1/2-inch leaf-shaped cookie cutter dipped in flour. Place 1 inch apart on ungreased baking sheets. Brush with the egg yolk mixture; sprinkle with the pistachio mixture.', 'Bake at 350-degrees for 6-8 minutes or until the edges are set (do not brown). Remove to wire racks to cool.']","['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'rolled-cookies', 'desserts', 'fruit', 'fall', 'holiday-event', 'cookies-and-brownies', 'thanksgiving', 'seasonal', 'citrus', 'lemon', 'number-of-servings', '4-hours-or-less']"
Maple Meringues,Posted for ZWT'06 for Canada.,"['4       egg whites', '1/4  teaspoon    cream of tartar', '3/4  cup    granulated sugar', ""1/4  cup    confectioners' sugar"", '1/2  teaspoon    maple extract']","['Preheat the oven to 300 degrees F (150 degrees C). Line cookie sheets with parchment paper.', 'In a large glass or metal bowl, whip egg whites with cream of tartar until foamy. Gradually add white sugar and confectioners sugar 1 tablespoon at a time while continuing to whip to stiff glossy peaks.', 'Mix in the maple extract. Spoon meringue onto the prepared cookie sheets in 1 inch circles.', 'Place in the preheated oven, and immediately reduce the temperature to 250 degrees F (120 degrees C). Bake for 50 to 60 minutes, until cookies are dry and easy to remove from the paper.']","['course', 'cuisine', 'preparation', 'north-american', 'desserts', 'canadian', 'easy', 'cookies-and-brownies']"
Bake a Batch of &quot; Peaches&quot; Cookies,"These are fun to make and pretty to look at as well as tasting good.  You can get the kids involved at the end to ""color"" them. Very impressive when placed on your cookie tray at Christmas!  I know that cookies are not for the dieters but this cookie packs a few extra calories. Don't be afraid of the oil amount or sugar. But it's cookies so forget the diet and live it up! Bet you'll have more than one :)  The yield depends on the size of the ""balls"" you make so it will vary on the baker.","['4       eggs', '1   cup    vegetable oil', '1   cup    sugar', '4   cups    flour', '4   teaspoons    baking powder', '2   cups    peach preserves', '2   ounces    amaretto liqueur', '1   tablespoon    water', '4 (4 -6   ounce) packages   peach Jell-O', '3/4  cup    granulated sugar']",[],"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'cookies-and-brownies']"
Coconut Balls,Yummy little cookies from Martha Stewart's Everday Food magazine (Issue #7),"['1   cup    butter', '1/4  cup    icing sugar', '2   cups    flour', '1/4  teaspoon    salt', '2   cups    sweetened flaked coconut']","['Preheat oven to 350 degrees.', 'Cream butter with icing sugar until fluffy.', 'Mix in flour and salt until they are just combined.', 'Stir in coconut.', 'Roll dough into 1 inch balls and place on cookie sheet.', 'Bake until just starting to brown, about 15-20 minutes.', 'Roll warm cookies in icing sugar.', 'Cool completely and enjoy.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', '5-ingredients-or-less', 'hand-formed-cookies', 'desserts', 'easy', 'cookies-and-brownies', 'number-of-servings']"
Molasses Cookies,"Mom's molasses cookie recipe.  I remember making these as a child. Instead of rolling in sugar, I rolled in salt.  Bad tasting mistake!!","['3/4  cup    shortening, melted ', '1   cup    sugar', '1/4  cup    molasses', '1       egg', '2   cups    flour', '1/2  teaspoon    ground ginger', '1   teaspoon    ground cinnamon', '1/2  teaspoon    salt', '2   teaspoons    baking soda', '1/2  teaspoon    ground cloves']","['Allow shortening to cool.', 'Add sugar, molasses and egg to shortening.  Beat well.', 'Sift together flour, ginger, cinnamon, salt, baking soda, and cloves.', 'Add dry ingredients to the wet ingredients.', 'Mix &amp; chill.', 'Form in bolls and roll in couse sugar.', 'Bake at 375degrees for 8-10 minutes.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'fall', 'holiday-event', 'winter', 'cookies-and-brownies', 'dietary', 'christmas', 'seasonal', 'number-of-servings']"
Easy Spritz Cookies,This is another easy version of Spritz Cookies with a cake mix.,"['18 1/4  ounces    white cake mix', '2 3/4  cups    flour', '1   lb    butter, divided ']","['Preheat oven to 350 degrees.', 'Melt two sticks(1/2 pound) butter.', 'Allow the remaining butter to reach room temperature and soften.', 'In a small bowl combine the flour and melted butter.', 'Mix well(you may want to return mixture to the microwave until mixture is pourable).', 'Pour melted butter mixture into cake mix in a large bowl.', 'Add softened butter.', 'Mix until all ingredients have been incorporated until smooth.', 'If dough is still stiff knead until softened.', 'Spray cookie sheets lightly with cooking spray.', 'Shape as desired.', 'Bake for 14-16 minutes until lightly browned.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', '5-ingredients-or-less', 'desserts', 'easy', 'holiday-event', 'kid-friendly', 'cookies-and-brownies', 'dietary', 'novelty']"
Divine Chocolate Macaroons,"These sounds absolutly DIVINE! I just love coconut,and this is a really nice recipe,not difficult and definitly worth making.I hope you think so too! 8)","['1/4  cup   cold water', '4       egg whites, beaten ', '2/3  cup    sugar', '2   teaspoons    vanilla extract', '1/2  teaspoon    salt', '1   tablespoon    cake flour', '2   ounces    chocolate, melted ', '3   cups   shredded coconut']",[],"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'drop-cookies', 'desserts', 'fruit', 'easy', 'dinner-party', 'vegetarian', 'cookies-and-brownies', 'nuts', 'dietary', 'coconut', 'number-of-servings']"
Old Fashioned Oatmeal Raisin Cookies,"Cookies like Grandma used to make. The secret is boiling the raisins to plump them up, which adds a great dimension to the wonderful spicy taste of this soft cookie. These are real special!","['1   cup    seedless raisin', '1   cup    water', '3/4  cup    shortening', '1 1/2  cups    sugar', '2   large    eggs', '1   teaspoon    vanilla', '2 1/2  cups    flour', '1/2  teaspoon    baking powder', '1   teaspoon    baking soda', '1   teaspoon    salt', '1   teaspoon    cinnamon', '1/2  teaspoon    clove', '2   cups    rolled oats', '1/2  cup   chopped walnuts']",[],"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'low-protein', 'drop-cookies', 'desserts', 'oven', 'cookies-and-brownies', 'dietary', 'low-sodium', 'low-in-something', 'equipment', 'number-of-servings']"
Corn Flakes Macaroons,"This is another recipe I used to make every Christmas as a kid, all by myself. Sticky, sweet, messy...I had so much fun making and eating them. Originally from the ""Jones Farm Country Kitchen"" community cookbook.","['2   large    eggs, beaten ', '1   cup    granulated sugar', '1   cup    dried coconut, shredded  (I used the sweetened kind in bags)', '1   teaspoon    vanilla', '3   cups    corn flakes cereal', '  candied cherry, halved ']","['Mix everything except the cherries together.', 'Drop in small mounds onto parchment lined baking sheets (using 2 spoons to help smoosh the mixture into a mound - be patient here, it will look somewhat too loose, but as it cooks it melts together.', 'Garnish with a cherry half if desired, pretty down gently.', 'Bake about 8-10 minutes, in a preheated 350°F oven.', 'Allow to cool a bit on the baking sheets before carefully removing to racks to cool - but not too long or they will harden up too much.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'healthy', 'drop-cookies', 'desserts', 'fruit', 'holiday-event', 'kid-friendly', 'cookies-and-brownies', 'nuts', 'dietary', 'christmas', 'coconut', 'taste-mood', 'sweet', 'number-of-servings']"
Chocolate Chip Biscotti,They are Italain!  Meant to be dunked in coffee!,"['17 1/2  ounces    sugar cookie mix', '1/3  cup    butter (or margarine, softened)', '1       egg', '1/4  cup    all-purpose flour', '1/2  cup    hazelnuts (toasted chopped)', '1/2  cup    cranberries (cherry-flavored dried, coarsely chopped)', '2   cups    semi-sweet chocolate chips']","['1.   1 Heat oven to 350°F In large bowl, stir cookie mix, butter, egg, flour, hazelnuts, cranberries and 1 1/2 cups chocolate chips until stiff dough forms. Shape half of dough at a time into 8x2 1/2-inch rectangle on ungreased cookie sheet. Bake 20 to 25 minutes or until golden brown. Cool on cookie sheet 15 minutes.', '2. 2 Cut crosswise into 3/4-inch slices. Place slices, cut sides down, on cookie sheet. Bake 10 to 12 minutes, turning once, until crisp. Remove from cookie sheet to wire rack. Cool completely, about 20 minutes.', '3. 3 In small microwavable bowl, microwave 1/2 cup chocolate chips on High 30 to 60 seconds; stir until smooth. Drizzle chocolate over one side of each biscotti. Let stand until chocolate is set.']","['time-to-make', 'course', 'preparation', 'desserts', 'easy', 'cookies-and-brownies', 'biscotti', '3-steps-or-less', '4-hours-or-less']"
Nelson Family Cookie Bake Ting a Lings,Chocolate covered chow mien noodles...a traditional favorite,"['1   lb    dipping chocolate', '1 (18   ounce) can   chow mein noodles']","['Melt chocolate in Microwave.', 'Heat 30 seconds, stir and repeat until chocolate is dipping consistency.', 'Add Chow Mien Noodles to Chocolate.', 'Drop by spoonfuls into small decorative paper cups.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'drop-cookies', 'desserts', 'easy', 'cookies-and-brownies']"
Best White Chocolate Butterscotch Cookies,I love chocolates!! Especially white n dark ones.,"['2 1/2  cups    flour', '1   teaspoon    baking soda', '1/4  teaspoon    salt', '1   cup   softened unsalted butter', '1 1/2  cups    dark brown sugar', '2       eggs', '1   tablespoon    light molasses', '2   teaspoons    vanilla', '1   cup   toasted chopped pecans', '3/4  cup    butterscotch chips', '3/4  cup    white chocolate chips']",[],"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-1-or-2', 'desserts', 'kid-friendly', 'cookies-and-brownies', 'chocolate', 'dietary', 'toddler-friendly', 'taste-mood', 'sweet', 'number-of-servings']"
Chocolate Pecan Shortbread,I got this from a local grocery store's email.,"['1 1/2  cups    all-purpose flour', '1/2  cup    unsweetened cocoa powder', '1/2  cup    powdered sugar', '1   cup    unsalted butter', '1/2  teaspoon    vanilla extract', '1   cup    sugar', '1/2  cup    pecans, ground ']","['Preheat the oven to 350°F', 'Grease a baking sheet well.', 'Place the flour, cocoa, and powdered sugar in a food processor.', 'Turn the machine on and slowly add the butter, 2 tablespoons at a time.', 'Add the vanilla and process until the dough forms a ball on top of the blades.', 'In the palms of your hands, roll the dough into circles about 1/2 inch thick.', 'Place on the prepared baking sheet and press each circle of dough down with the bottom of a glass until it is about 1/4 inch thick.', 'Sprinkle the dough with the granulated sugar and pecans and press again to flatten.', 'Bake the cookies until brown, about 10 minutes.', 'Cool them on the baking sheet before serving.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-large-groups', 'hand-formed-cookies', 'desserts', 'lunch', 'snacks', 'fruit', 'american', 'oven', 'european', 'potluck', 'finger-food', 'holiday-event', 'vegetarian', 'cookies-and-brownies', 'chocolate', 'scottish', 'nuts', 'food-processor-blender', 'dietary', 'gifts', 'christmas', 'low-sodium', 'brown-bag', 'egg-free', 'free-of-something', 'low-in-something', 'to-go', 'equipment', 'small-appliance', 'number-of-servings', 'presentation', 'served-cold']"
Easy Bake Oven Choco-Peanut Butter Cookies,"I recently found this when I helped my sisters pull out my old Easy Bake Oven. It's a recipe I devised when I was a kid, piggybacked from a recipe that came with some of my mixes.","['1/4  cup    flour', '1   tablespoon    butter', '1 1/4  tablespoons    peanut butter', '2   tablespoons    sugar', '1   teaspoon    sugar', '1   teaspoon    powdered chocolate milk mix']",[],"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'kid-friendly', 'cookies-and-brownies', 'dietary', 'novelty', 'number-of-servings']"
Pumpkin Gobs,"I received this recipe from a friend at work. Really good, rich sandwich type cookie.","['2   cups   packed light brown sugar or 2   cups    dark brown sugar, your choice ', '1   cup    shortening', '2   cups    pumpkin', '2       eggs', '3 1/2  cups    all-purpose flour', '1 1/2  teaspoons    cinnamon', '1   teaspoon    pumpkin pie spice', '1/2  teaspoon    salt', '1   teaspoon    baking soda', '1   teaspoon    baking powder', '1 1/2  teaspoons    vanilla extract', '3/4  cup    evaporated milk, heated, estimated amount ', '1/2  cup    shortening', '1/2  cup    butter', '1   teaspoon    vanilla extract', '1   cup    sugar']","['Preheat oven to 350 degrees F.', 'For cookies.', 'Cream the brown sugar and 1 cup shortening.', 'Add remaining cookie ingredients and mix until well blended.', 'Drop by heaping teaspoons full onto greased cookie sheet.', 'Flatten with the back of spoon, leaving small rounded indentation in center of cookie.', 'Bake for 10-12 minutes.', 'Let cook slightly on baking sheet then remove to wire rack to cool completely.', 'Filling: Heat milk.', 'Cream together the remaining filling ingredients.', 'Slowly add milk and beat until creamy.  You may not need to use the entire 3/4 cup of milk.  Use just what you need to get the consistency you want.', 'Take 1/2 of the cookies and divide the filling among these cookies.', 'Place the remaining cookies on top to make a sandwich.', 'Eat and enjoy.']","['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'desserts', 'oven', 'easy', 'beginner-cook', 'fall', 'winter', 'cookies-and-brownies', 'dietary', 'seasonal', 'taste-mood', 'sweet', 'equipment', 'number-of-servings']"
Buttery Coconut Cookies,"These cookies are buttery and chewy with extreme coconut flavor, they are a sweet cookie, for a less sweeter taste you may reduce the white sugar by 2 tablespoons if desired, for some reason these are not as good if you double the recipe into one bowl, to double I would suggest to make two separate recipes into two bowls ---if you are a coconut-lover you will love these, I have made these cookies many times, they are very good! --- serving is only estimated and recipe may be doubled successfully.","['1 1/4  cups    all-purpose flour', '1/2  teaspoon    baking soda', '1/4  teaspoon    salt', '1/2  cup    butter, softened  (no substitutes)', '1   teaspoon    coconut extract', '1/2  cup    white sugar', '1/2  cup    brown sugar', '1   large    egg', '1 1/4  cups    flaked coconut']","['Set oven to 350 degrees F.', 'Generously grease a baking/cookie sheet.', 'In a small bowl combine the flour with baking soda and salt.', 'In a medium bowl cream butter with both sugars and coconut extract.', 'Add in egg and beat until smooth and creamy.', 'Add in flour mixture; beat until combined (batter will be slightly thick).', 'Mix in coconut until well combined.', 'Drop by heaping teaspoonfuls onto prepared baking sheet spacing about 3 inches apart.', 'Bake 8-10 minutes until lightly golden brown.', 'Cool on baking sheet then transfer to wire racks.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'desserts', 'eggs-dairy', 'oven', 'easy', 'beginner-cook', 'holiday-event', 'kid-friendly', 'cookies-and-brownies', 'dietary', 'gifts', 'christmas', 'taste-mood', 'sweet', 'equipment', 'number-of-servings']"
Vanilla Chip Cherry Cookies,From Taste Of Home Magazine.,"['1   cup    butter', '3/4  cup    sugar', '3/4  cup   packed brown sugar', '2       eggs', '1/4  teaspoon    almond extract', '2 1/4  cups    all-purpose flour', '1   teaspoon    baking soda', '1/2  teaspoon    salt', '1 (10 -12   ounce) package   vanilla chocolate chips or 1 (10 -12   ounce) package   white chocolate chips', '1 (10   ounce) jar   maraschino cherries, drained and chopped ']","['In a large mixing bowl, cream butter and sugars. Add eggs, one at a time, beating well after each addition. beat in almond extract. Combine the flour, baking soda and salt; gradually add to the creamed mixture. Stir in chips and cherries.', 'Drop by rounded tablespoons 2 inches apart onto ungreased baking sheets. bake at 350* for 10-12 minutes or until lightly browned. Remove to wire racks to cool.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'fruit', 'easy', 'cookies-and-brownies', 'pitted-fruit', 'cherries', '3-steps-or-less']"
Award Winning Soft Chocolate Chip Cookies,These cookies are soo soft and yummy!!,"['4 1/2  cups    all-purpose flour', '2   teaspoons    baking soda', '2   cups    butter, softened ', '1 1/2  cups   packed brown sugar', '1/2  cup    sugar', '2 (3 1/2  ounce) packages   vanilla instant pudding mix', '4       eggs', '2   teaspoons    vanilla', '1 (24   ounce) bag   semi-sweet chocolate chips', '2   cups   chopped walnuts']","['Preheat oven to 350. Sift together the flour and baking soda, set aside.', 'In a large bowl, cream together the butter, brown sugar, and sugar. Beat in the instant pudding mix until blended. Stir in the eggs and vanilla. Blend in the flour mixture.', 'Finally, stir in the chocolate chips and nuts. Drop cookies by rounded spoonfuls onto ungreased cookie sheets.', 'Bake for 10 to 12 mins in the preheated oven. Edges should be golden brown.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'for-large-groups', 'drop-cookies', 'desserts', 'cookies-and-brownies', 'chocolate', 'oamc-freezer-make-ahead', 'number-of-servings']"
Perfect Roll out Sugar Cookie,"This sugar cookie  not only has the perfect vanilla bean taste, but it also holds its shape perfectly when cooked. Everyone absolutely loves this cookie; it won't disappoint.","['1   cup    butter (room temperature)', '1   cup    brown sugar', '1/2  cup    granulated sugar', '3/4  teaspoon    salt', '2   large    eggs (room temperature)', '1   tablespoon    vanilla bean paste', '1/2  teaspoon    almond extract', '1/4  teaspoon    butter flavor extract', '3 3/4  cups    all-purpose flour']","['Place the butter, brown sugar, granulated white sugar, and salt in the mixer and mix until completely incorporated together.', 'Add eggs, bean paste  and extracts and mix until completely incorporated.', 'Add flour all at once and mix until completely blended. The dough will pull away from the sides of the bowl.', 'Separate the dough into two parts and roll each part between parchment paper. I roll mine 3/8 of an inch thick. You can roll however thick you want, but adjust the baking time if your cookies are rolled thinner than 3/8 of an inch.', 'Chill the rolled out dough in the refrigerator for about 3 to 4 hours.', 'Choose a cookie cutter and cut out your cookies into the desired shapes and place them on a cookie sheet lined with parchment paper and place that cookie sheet in the freezer for about 10 to 15 minutes.', 'Bake for 15 minutes in a 350 degree oven. You will know they are done when the gloss is gone off the top of the cookies.', 'Cool and eat plain or decorate with my awesome royal icing. It has a soft bite to it and an awesome taste.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'snacks', 'number-of-servings']"
